Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,monthly_payment,debt_to_savings_ratio,description,target
67,male,2,own,no info,little,1169,6,radio/TV,194.83333333333334,1169.0,"Older homeowner with limited liquid assets for a short, small loan. High debt-to-savings indicates poor financial buffer, but low amount mitigates risk.",good risk
22,female,2,own,little,moderate,5951,48,radio/TV,123.97916666666667,2975.5,"Young homeowner with limited savings for a large, long-term loan. High debt-to-savings ratio suggests significant financial strain and elevated risk.",bad risk
49,male,1,own,little,no info,2096,12,education,174.66666666666666,1048.0,Middle-aged homeowner with an unskilled job and very limited liquid assets. Education loan combined with high debt-to-savings ratio raises repayment concerns.,bad risk
45,male,2,free,little,little,7882,42,furniture/equipment,187.66666666666666,3941.0,"Skilled employee with free housing, but requesting a very large, long-term loan. Extremely high debt-to-savings ratio and minimal liquid assets pose significant risk.",bad risk
53,male,2,free,little,little,4870,24,car,202.91666666666666,2435.0,"Mature skilled employee with free housing, but limited savings for a substantial car loan. High debt-to-savings ratio suggests a strained financial position.",bad risk
35,male,1,free,no info,no info,9055,36,education,251.52777777777777,9055.0,"Applicant with an unskilled job and no apparent savings, seeking a very large, long-term education loan. Extreme debt-to-savings ratio indicates severe repayment risk.",bad risk
53,male,2,own,quite rich,no info,2835,24,furniture/equipment,118.125,2835.0,"Mature, skilled homeowner with substantial savings and a moderate loan. Despite 'no info' checking, robust savings indicate strong repayment capacity.",good risk
35,male,3,rent,little,moderate,6948,36,car,193.0,3474.0,"Highly qualified professional seeking a significant car loan over a long term. Limited savings and a high debt-to-savings ratio are concerns, but likely offset by high income.",good risk
61,male,1,own,rich,no info,3059,12,radio/TV,254.91666666666666,764.75,"Older homeowner with substantial savings and a moderate, short-term loan. Despite an unskilled job, robust savings significantly lower the overall credit risk.",good risk
28,male,3,own,little,moderate,5234,30,car,174.46666666666667,2617.0,"Young, highly qualified homeowner seeking a substantial car loan over a long term. Limited savings and a high debt-to-savings ratio are concerns, but mitigated by stable employment.",good risk
25,female,2,rent,little,moderate,1295,12,car,107.91666666666667,647.5,"Young skilled employee, renting, seeking a small car loan. While savings are limited, the low credit amount and manageable duration mitigate the overall risk.",good risk
24,female,2,rent,little,little,4308,48,business,89.75,2154.0,"Very young skilled employee, renting, requesting a high-value, long-term business loan. Limited liquidity, high debt-to-savings ratio, and business purpose pose high risk.",bad risk
22,female,2,own,little,moderate,1567,12,radio/TV,130.58333333333334,783.5,"Young homeowner with a skilled job, seeking a moderate, short-term loan. While savings are limited, the overall credit profile indicates manageable risk.",good risk
60,male,1,own,little,little,1199,24,car,49.958333333333336,599.5,"Older homeowner with an unskilled job and limited liquid assets. The very small car loan, despite a high debt-to-savings ratio, makes the risk manageable.",good risk
28,female,2,rent,little,little,1403,15,car,93.53333333333333,701.5,"Young skilled employee, renting, seeking a small car loan. Despite limited savings, the low credit amount and reasonable duration suggest manageable risk.",good risk
32,female,1,own,moderate,little,1282,24,radio/TV,53.416666666666664,427.3333333333333,"Homeowner with moderate savings requesting a small loan. While job type is a concern, the manageable credit amount and existing savings provide a buffer.",good risk
53,male,2,own,no info,no info,2424,24,radio/TV,101.0,2424.0,"Mature, skilled homeowner seeking a moderate loan but with no reported savings or checking accounts. This lack of financial buffer and high debt-to-savings ratio poses significant risk.",bad risk
25,male,2,own,no info,little,8072,30,business,269.06666666666666,8072.0,"Young skilled homeowner seeking a very large, long-term business loan with no reported savings and limited checking. Extreme debt-to-savings ratio indicates severe risk.",bad risk
44,female,3,free,little,moderate,12579,24,car,524.125,6289.5,"Highly qualified professional with free housing, seeking a very large car loan. Limited savings and extremely high debt-to-savings ratio pose significant risk.",bad risk
31,male,2,own,quite rich,no info,3430,24,radio/TV,142.91666666666666,3430.0,"Skilled homeowner with substantial savings and a moderate loan. Despite 'no info' checking, robust savings indicate strong repayment capacity and low risk.",good risk
48,male,2,own,little,no info,2134,9,car,237.11111111111111,1067.0,"Skilled homeowner seeking a moderate car loan over a very short term. Limited savings and high debt-to-savings are concerns, but offset by the short repayment period.",good risk
44,male,2,rent,quite rich,little,2647,6,radio/TV,441.1666666666667,2647.0,"Skilled employee with substantial savings, requesting a moderate loan over an extremely short term. Robust savings and short duration offset high monthly payment.",good risk
48,male,1,rent,little,little,2241,10,car,224.1,1120.5,"Mature applicant with an unskilled job, renting, and limited liquid assets. Despite a moderate, short-term car loan, low income and poor liquidity indicate elevated risk.",bad risk
44,male,2,own,moderate,moderate,1804,12,car,150.33333333333334,601.3333333333334,"Skilled homeowner with moderate savings and checking accounts, seeking a small, short-term car loan. All indicators point to a strong and reliable credit profile.",good risk
26,male,2,own,no info,no info,2069,10,furniture/equipment,206.9,2069.0,Young skilled homeowner seeking a moderate loan but with no reported savings or checking accounts. This lack of financial buffer and high debt-to-savings ratio poses significant risk.,bad risk
36,male,1,own,little,little,1374,6,furniture/equipment,229.0,687.0,"Homeowner with an unskilled job and limited liquid assets, seeking a very small, short-term loan. The low amount and duration mitigate income and liquidity concerns.",good risk
39,male,1,own,little,no info,426,6,radio/TV,71.0,213.0,"Homeowner with an unskilled job and very limited liquid assets, seeking a minimal, short-term loan. The extremely low credit amount makes this a manageable risk.",good risk
42,female,2,rent,rich,rich,409,12,radio/TV,34.083333333333336,102.25,"Skilled employee with excellent savings and checking accounts, seeking a minimal loan. This profile indicates very strong financial stability and low risk.",good risk
