Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,monthly_payment,debt_to_savings_ratio,description,target
67,male,2,own,,little,1169,6,radio/TV,194.83333333333334,1169.0,"67-year-old male with stable job, owns housing, low savings, small credit amount, short duration, high debt-to-savings ratio.",bad risk
22,female,2,own,little,moderate,5951,48,radio/TV,123.97916666666667,2975.5,"22-year-old female with stable job, owns housing, little savings, moderate checking account, large credit amount, long duration, high debt-to-savings ratio.",bad risk
49,male,1,own,little,,2096,12,education,174.66666666666666,1048.0,"49-year-old male with stable job, owns housing, little savings, no checking account, moderate credit amount, short duration, high debt-to-savings ratio.",bad risk
45,male,2,free,little,little,7882,42,furniture/equipment,187.66666666666666,3941.0,"45-year-old male with stable job, no housing, little savings, small checking account, large credit amount, medium duration, high debt-to-savings ratio.",bad risk
53,male,2,free,little,little,4870,24,car,202.91666666666666,2435.0,"53-year-old male with stable job, no housing, little savings, small checking account, moderate credit amount, medium duration, high debt-to-savings ratio.",bad risk
35,male,1,free,,,9055,36,education,251.52777777777777,9055.0,"35-year-old male with stable job, no housing, no savings, no checking account, large credit amount, medium duration, very high debt-to-savings ratio.",bad risk
53,male,2,own,quite rich,,2835,24,furniture/equipment,118.125,2835.0,"53-year-old male with stable job, owns housing, rich savings, no checking account, moderate credit amount, medium duration, high debt-to-savings ratio.",good risk
35,male,3,rent,little,moderate,6948,36,car,193.0,3474.0,"35-year-old male with professional job, rents housing, little savings, moderate checking account, large credit amount, medium duration, high debt-to-savings ratio.",bad risk
61,male,1,own,rich,,3059,12,radio/TV,254.91666666666666,764.75,"61-year-old male with stable job, owns housing, rich savings, no checking account, moderate credit amount, short duration, medium debt-to-savings ratio.",good risk
28,male,3,own,little,moderate,5234,30,car,174.46666666666667,2617.0,"28-year-old male with professional job, owns housing, little savings, moderate checking account, moderate credit amount, medium duration, high debt-to-savings ratio.",good risk
25,female,2,rent,little,moderate,1295,12,car,107.91666666666667,647.5,"25-year-old female with stable job, rents housing, little savings, moderate checking account, small credit amount, short duration, medium debt-to-savings ratio.",good risk
24,female,2,rent,little,little,4308,48,business,89.75,2154.0,"24-year-old female with stable job, rents housing, little savings, small checking account, moderate credit amount, long duration, high debt-to-savings ratio.",bad risk
22,female,2,own,little,moderate,1567,12,radio/TV,130.58333333333334,783.5,"22-year-old female with stable job, owns housing, little savings, moderate checking account, small credit amount, short duration, medium debt-to-savings ratio.",good risk
60,male,1,own,little,little,1199,24,car,49.958333333333336,599.5,"60-year-old male with stable job, owns housing, little savings, small checking account, small credit amount, medium duration, medium debt-to-savings ratio.",good risk
28,female,2,rent,little,little,1403,15,car,93.53333333333333,701.5,"28-year-old female with stable job, rents housing, little savings, small checking account, small credit amount, short duration, medium debt-to-savings ratio.",good risk
32,female,1,own,moderate,little,1282,24,radio/TV,53.416666666666664,427.3333333333333,"32-year-old female with stable job, owns housing, moderate savings, small checking account, small credit amount, medium duration, medium debt-to-savings ratio.",good risk
53,male,2,own,,,2424,24,radio/TV,101.0,2424.0,"53-year-old male with stable job, owns housing, no savings, no checking account, moderate credit amount, medium duration, very high debt-to-savings ratio.",bad risk
25,male,2,own,,little,8072,30,business,269.06666666666666,8072.0,"25-year-old male with stable job, owns housing, no savings, small checking account, large credit amount, medium duration, very high debt-to-savings ratio.",bad risk
44,female,3,free,little,moderate,12579,24,car,524.125,6289.5,"44-year-old female with professional job, no housing, little savings, moderate checking account, large credit amount, medium duration, high debt-to-savings ratio.",bad risk
31,male,2,own,quite rich,,3430,24,radio/TV,142.91666666666666,3430.0,"31-year-old male with stable job, owns housing, rich savings, no checking account, moderate credit amount, medium duration, high debt-to-savings ratio.",good risk
48,male,2,own,little,,2134,9,car,237.11111111111111,1067.0,"Age 48, male, employed, owns housing, little savings, no checking account, credit amount 2134, 9 months duration, car purpose, monthly payment 237.11, high debt to savings ratio 1067.0.",bad risk
44,male,2,rent,quite rich,little,2647,6,radio/TV,441.1666666666667,2647.0,"Age 44, male, employed, rents housing, rich savings, little checking account, credit amount 2647, 6 months duration, radio/TV purpose, monthly payment 441.17, high debt to savings ratio 2647.0.",bad risk
48,male,1,rent,little,little,2241,10,car,224.1,1120.5,"Age 48, male, self-employed, rents housing, little savings, little checking account, credit amount 2241, 10 months duration, car purpose, monthly payment 224.1, high debt to savings ratio 1120.5.",bad risk
44,male,2,own,moderate,moderate,1804,12,car,150.33333333333334,601.3333333333334,"Age 44, male, employed, owns housing, moderate savings, moderate checking account, credit amount 1804, 12 months duration, car purpose, monthly payment 150.33, moderate debt to savings ratio 601.33.",good risk
26,male,2,own,,,2069,10,furniture/equipment,206.9,2069.0,"Age 26, male, employed, owns housing, no savings, no checking account, credit amount 2069, 10 months duration, furniture/equipment purpose, monthly payment 206.9, high debt to savings ratio 2069.0.",bad risk
36,male,1,own,little,little,1374,6,furniture/equipment,229.0,687.0,"Age 36, male, self-employed, owns housing, little savings, little checking account, credit amount 1374, 6 months duration, furniture/equipment purpose, monthly payment 229.0, moderate debt to savings ratio 687.0.",good risk
39,male,1,own,little,,426,6,radio/TV,71.0,213.0,"Age 39, male, self-employed, owns housing, little savings, no checking account, credit amount 426, 6 months duration, radio/TV purpose, monthly payment 71.0, moderate debt to savings ratio 213.0.",good risk
42,female,2,rent,rich,rich,409,12,radio/TV,34.083333333333336,102.25,"Age 42, female, employed, rents housing, rich savings, rich checking account, credit amount 409, 12 months duration, radio/TV purpose, monthly payment 34.08, low debt to savings ratio 102.25.",good risk
34,male,2,own,little,moderate,2415,7,radio/TV,345.0,1207.5,"Age 34, male, employed, owns housing, little savings, moderate checking account, credit amount 2415, 7 months duration, radio/TV purpose, monthly payment 345.0, moderate debt to savings ratio 1207.5.",good risk
63,male,2,own,little,little,6836,60,business,113.93333333333334,3418.0,"Age 63, male, employed, owns housing, little savings, little checking account, credit amount 6836, 60 months duration, business purpose, monthly payment 113.93, moderate debt to savings ratio 3418.0.",good risk
36,male,2,own,rich,moderate,1913,18,business,106.27777777777777,478.25,"Age 36, male, employed, owns housing, rich savings, moderate checking account, credit amount 1913, 18 months duration, business purpose, monthly payment 106.28, moderate debt to savings ratio 478.25.",good risk
27,male,2,own,little,little,4020,24,furniture/equipment,167.5,2010.0,"Age 27, male, employed, owns housing, little savings, little checking account, credit amount 4020, 24 months duration, furniture/equipment purpose, monthly payment 167.5, high debt to savings ratio 2010.0.",bad risk
30,male,2,own,moderate,moderate,5866,18,car,325.8888888888889,1955.3333333333333,"Age 30, male, employed, owns housing, moderate savings, moderate checking account, credit amount 5866, 18 months duration, car purpose, monthly payment 325.89, moderate debt to savings ratio 1955.33.",good risk
57,male,1,rent,,,1264,12,business,105.33333333333333,1264.0,"Age 57, male, self-employed, rents housing, no savings, no checking account, credit amount 1264, 12 months duration, business purpose, monthly payment 105.33, high debt to savings ratio 1264.0.",bad risk
33,female,3,own,little,rich,1474,12,furniture/equipment,122.83333333333333,737.0,"Age 33, female, unemployed, owns housing, little savings, rich checking account, credit amount 1474, 12 months duration, furniture/equipment purpose, monthly payment 122.83, moderate debt to savings ratio 737.0.",good risk
25,male,1,own,little,moderate,4746,45,radio/TV,105.46666666666667,2373.0,"Age 25, male, self-employed, owns housing, little savings, moderate checking account, credit amount 4746, 45 months duration, radio/TV purpose, monthly payment 105.47, high debt to savings ratio 2373.0.",bad risk
31,male,2,free,little,,6110,48,education,127.29166666666667,3055.0,"Age 31, male, employed, owns housing, little savings, no checking account, credit amount 6110, 48 months duration, education purpose, monthly payment 127.29, high debt to savings ratio 3055.0.",bad risk
37,male,2,own,little,rich,2100,18,radio/TV,116.66666666666667,1050.0,"Age 37, male, employed, owns housing, little savings, rich checking account, credit amount 2100, 18 months duration, radio/TV purpose, monthly payment 116.67, moderate debt to savings ratio 1050.0.",good risk
37,male,2,own,little,rich,1225,10,domestic appliances,122.5,612.5,"Age 37, male, employed, owns housing, little savings, rich checking account, credit amount 1225, 10 months duration, domestic appliances purpose, monthly payment 122.5, moderate debt to savings ratio 612.5.",good risk
24,male,2,own,little,moderate,458,9,radio/TV,50.888888888888886,229.0,"Age 24, male, employed, owns housing, little savings, moderate checking account, credit amount 458, 9 months duration, radio/TV purpose, monthly payment 50.89, moderate debt to savings ratio 229.0.",good risk
30,male,3,own,quite rich,,2333,30,radio/TV,77.76666666666667,2333.0,"Age 30, male, job 3, owns housing, rich savings, no checking account, credit 2333, 30 months, radio/TV, monthly payment 77.77, debt to savings 2333.0.",good risk
26,male,2,own,quite rich,moderate,1158,12,radio/TV,96.5,1158.0,"Age 26, male, job 2, owns housing, rich savings, moderate checking account, credit 1158, 12 months, radio/TV, monthly payment 96.5, debt to savings 1158.0.",good risk
44,male,1,own,little,moderate,6204,18,repairs,344.6666666666667,3102.0,"Age 44, male, job 1, owns housing, little savings, moderate checking account, credit 6204, 18 months, repairs, monthly payment 344.67, debt to savings 3102.0.",bad risk
24,male,2,rent,moderate,little,6187,30,car,206.23333333333332,2062.3333333333335,"Age 24, male, job 2, rents housing, moderate savings, little checking account, credit 6187, 30 months, car, monthly payment 206.23, debt to savings 2062.33.",bad risk
58,female,1,free,little,little,6143,48,car,127.97916666666667,3071.5,"Age 58, female, job 1, free housing, little savings, little checking account, credit 6143, 48 months, car, monthly payment 127.98, debt to savings 3071.5.",bad risk
35,female,3,own,little,,1393,11,car,126.63636363636364,696.5,"Age 35, female, job 3, owns housing, little savings, no checking account, credit 1393, 11 months, car, monthly payment 126.64, debt to savings 696.5.",good risk
39,male,2,own,quite rich,,2299,36,radio/TV,63.861111111111114,2299.0,"Age 39, male, job 2, owns housing, rich savings, no checking account, credit 2299, 36 months, radio/TV, monthly payment 63.86, debt to savings 2299.0.",good risk
23,female,0,rent,quite rich,little,1352,6,car,225.33333333333334,1352.0,"Age 23, female, job 0, rents housing, rich savings, little checking account, credit 1352, 6 months, car, monthly payment 225.33, debt to savings 1352.0.",bad risk
39,male,1,own,little,,7228,11,car,657.0909090909091,3614.0,"Age 39, male, job 1, owns housing, little savings, no checking account, credit 7228, 11 months, car, monthly payment 657.09, debt to savings 3614.0.",bad risk
28,female,2,own,moderate,,2073,12,radio/TV,172.75,691.0,"Age 28, female, job 2, owns housing, moderate savings, no checking account, credit 2073, 12 months, radio/TV, monthly payment 172.75, debt to savings 691.0.",good risk
29,male,1,own,,moderate,2333,24,furniture/equipment,97.20833333333333,2333.0,"Age 29, male, job 1, owns housing, no savings, moderate checking account, credit 2333, 24 months, furniture/equipment, monthly payment 97.21, debt to savings 2333.0.",bad risk
30,male,3,own,little,moderate,5965,27,car,220.92592592592592,2982.5,"Age 30, male, job 3, owns housing, little savings, moderate checking account, credit 5965, 27 months, car, monthly payment 220.93, debt to savings 2982.5.",bad risk
25,male,2,own,little,,1262,12,radio/TV,105.16666666666667,631.0,"Age 25, male, job 2, owns housing, little savings, no checking account, credit 1262, 12 months, radio/TV, monthly payment 105.17, debt to savings 631.0.",good risk
31,male,2,own,,,3378,18,car,187.66666666666666,3378.0,"Age 31, male, job 2, owns housing, no savings, no checking account, credit 3378, 18 months, car, monthly payment 187.67, debt to savings 3378.0.",bad risk
57,male,2,free,little,moderate,2225,36,car,61.80555555555556,1112.5,"Age 57, male, job 2, free housing, little savings, moderate checking account, credit 2225, 36 months, car, monthly payment 61.81, debt to savings 1112.5.",good risk
26,male,1,own,,,783,6,car,130.5,783.0,"Age 26, male, job 1, owns housing, no savings, no checking account, credit 783, 6 months, car, monthly payment 130.5, debt to savings 783.0.",bad risk
52,male,3,own,,moderate,6468,12,radio/TV,539.0,6468.0,"Age 52, male, job 3, owns housing, no savings, moderate checking account, credit 6468, 12 months, radio/TV, monthly payment 539.0, debt to savings 6468.0.",bad risk
31,female,2,own,little,,9566,36,radio/TV,265.72222222222223,4783.0,"Age 31, female, job 2, owns housing, little savings, no checking account, credit 9566, 36 months, radio/TV, monthly payment 265.72, debt to savings 4783.0.",bad risk
23,female,3,own,little,rich,1961,18,car,108.94444444444444,980.5,"Age 23, female, job 3, owns housing, little savings, rich checking account, credit 1961, 18 months, car, monthly payment 108.94, debt to savings 980.5.",good risk
23,female,1,rent,little,little,6229,36,furniture/equipment,173.02777777777777,3114.5,"Age 23, female, job 1, rents housing, little savings, little checking account, credit 6229, 36 months, furniture/equipment, monthly payment 173.03, debt to savings 3114.5.",bad risk
27,male,2,own,little,moderate,1391,9,business,154.55555555555554,695.5,"27-year-old male with moderate savings and checking account, owns housing, high debt-to-savings ratio, business purpose, 9-month duration.",bad risk
50,male,2,own,,moderate,1537,15,radio/TV,102.46666666666667,1537.0,"50-year-old male with no savings, owns housing, moderate checking account, high debt-to-savings ratio, radio/TV purpose, 15-month duration.",bad risk
61,male,3,free,little,moderate,1953,36,business,54.25,976.5,"61-year-old male with moderate savings and checking account, free housing, moderate debt-to-savings ratio, business purpose, 36-month duration.",good risk
25,male,2,own,little,moderate,14421,48,business,300.4375,7210.5,"25-year-old male with moderate savings and checking account, owns housing, high debt-to-savings ratio, business purpose, 48-month duration.",bad risk
26,female,2,own,little,,3181,24,radio/TV,132.54166666666666,1590.5,"26-year-old female with moderate savings and checking account, owns housing, moderate debt-to-savings ratio, radio/TV purpose, 24-month duration.",bad risk
48,male,2,own,,,5190,27,repairs,192.22222222222223,5190.0,"48-year-old male with no savings, owns housing, no checking account, high debt-to-savings ratio, repairs purpose, 27-month duration.",bad risk
29,female,2,own,little,,2171,12,radio/TV,180.91666666666666,1085.5,"29-year-old female with moderate savings and checking account, owns housing, moderate debt-to-savings ratio, radio/TV purpose, 12-month duration.",bad risk
22,male,2,own,rich,moderate,1007,12,car,83.91666666666667,251.75,"22-year-old male with rich savings and moderate checking account, owns housing, low debt-to-savings ratio, car purpose, 12-month duration.",good risk
37,male,2,free,little,,1819,36,education,50.52777777777778,909.5,"37-year-old male with moderate savings and checking account, free housing, moderate debt-to-savings ratio, education purpose, 36-month duration.",good risk
25,female,2,own,,,2394,36,radio/TV,66.5,2394.0,"25-year-old female with no savings and checking account, owns housing, high debt-to-savings ratio, radio/TV purpose, 36-month duration.",bad risk
